/tmp/agent/itest_velagent/runtime1618597017439/workspace-a9e89308-3e3f-4110-a556-e5127c760feb/docsisScheduler/AARC89410GTVPlusE6KDataUS_2021-04-22_18-13-42/E6KTVPlusDataUS.csv for periodic results

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #1
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9804080,9842224,29467,29879,0.0,153.2961,0.0,3136.64,0.0,0.0,0.0,4580181.52,0.0,0,29879,0,65536,65536,
Project 1,TV+ C2 DS,9804080,9841480,29467,29879,0.0,106.0809,0.0,2736.0,0.0,0.0,0.0,3169483.72,0.0,0,29879,0,65537,65537,
Project 1,TV+ C3 DS,9804080,9841560,29467,29879,0.0,111.8745,0.0,2985.6,0.0,0.0,0.0,3342587.52,0.0,0,29879,0,65538,65538,
Project 1,TV+ C1 US,1631280,23368,4804,181,96.11,13556.9849,0.0,441016.32,0.0,0.0,0.0,2440257.28,0.0,0,181,0,131072,131072,
Project 1,TV+ C2 US,1631280,1225816,4804,3160,33.14,3315.8961,0.0,34611.2,0.0,0.0,0.0,10474915.84,0.0,0,3160,0,131073,131073,
Project 1,TV+ C3 US,1631280,15576,4804,590,87.28,7281.1398,0.0,243630.08,0.0,0.0,0.0,4288591.36,0.0,0,590,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #2
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9840744,57533,57952,0.0,154.3198,0.0,3136.64,0.0,0.0,0.0,8942985.52,0.0,0,57952,0,65536,65536,
Project 1,TV+ C2 DS,9802440,9840664,57533,57953,0.0,106.3653,0.0,2736.0,0.0,0.0,0.0,6164079.68,0.0,0,57953,0,65537,65537,
Project 1,TV+ C3 DS,9802440,9840752,57533,57953,0.0,111.76,0.0,2985.6,0.0,0.0,0.0,6476716.16,0.0,0,57953,0,65538,65538,
Project 1,TV+ C1 US,1631280,7792,9478,297,96.76,11086.4043,0.0,441016.32,0.0,0.0,0.0,3281575.68,0.0,0,297,0,131072,131072,
Project 1,TV+ C2 US,1631280,1248688,9478,6225,33.78,3157.0937,0.0,47513.6,0.0,0.0,0.0,19649751.04,0.0,0,6225,0,131073,131073,
Project 1,TV+ C3 US,1631280,20768,9478,1064,88.62,6883.9363,0.0,243630.08,0.0,0.0,0.0,7317624.32,0.0,0,1064,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #3
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9840520,85560,86008,0.0,153.9372,0.0,3136.64,0.0,0.0,0.0,13239675.44,0.0,0,86008,0,65536,65536,
Project 1,TV+ C2 DS,9802440,9840616,85560,86008,0.0,106.1878,0.0,2736.0,0.0,0.0,0.0,9132897.2,0.0,0,86008,0,65537,65537,
Project 1,TV+ C3 DS,9802440,9840576,85560,86008,0.0,111.7036,0.0,2985.6,0.0,0.0,0.0,9607287.84,0.0,0,86008,0,65538,65538,
Project 1,TV+ C1 US,1629640,12984,14153,413,97.01,10290.3643,0.0,441016.32,0.0,0.0,0.0,4239630.08,0.0,0,413,0,131072,131072,
Project 1,TV+ C2 US,1629640,1242880,14153,9321,33.79,3084.9088,0.0,47513.6,0.0,0.0,0.0,28751349.76,0.0,0,9321,0,131073,131073,
Project 1,TV+ C3 US,1629640,7792,14153,1504,89.28,6678.4677,0.0,243630.08,0.0,0.0,0.0,10037736.96,0.0,0,1504,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #4
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9804080,9841096,113178,113598,0.0,153.7907,0.0,3136.64,0.0,0.0,0.0,17470158.72,0.0,0,113598,0,65536,65536,
Project 1,TV+ C2 DS,9804080,9843272,113178,113599,0.0,106.08,0.0,2736.0,0.0,0.0,0.0,12050475.68,0.0,0,113599,0,65537,65537,
Project 1,TV+ C3 DS,9804080,9843160,113178,113599,0.0,111.4668,0.0,2985.6,0.0,0.0,0.0,12662409.6,0.0,0,113599,0,65538,65538,
Project 1,TV+ C1 US,1631280,23368,18752,521,97.2,10147.808,0.0,441016.32,0.0,0.0,0.0,5276860.16,0.0,0,521,0,131072,131072,
Project 1,TV+ C2 US,1631280,1249488,18752,12370,33.75,3061.5663,0.0,47554.56,0.0,0.0,0.0,37868513.28,0.0,0,12370,0,131073,131073,
Project 1,TV+ C3 US,1631280,10384,18752,1939,89.58,6547.5329,0.0,243630.08,0.0,0.0,0.0,12689118.72,0.0,0,1939,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #5
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9842456,140758,141177,0.0,153.7342,0.0,3136.64,0.0,0.0,0.0,21703584.4,0.0,0,141177,0,65536,65536,
Project 1,TV+ C2 DS,9802440,9842352,140758,141175,0.0,106.128,0.0,2736.0,0.0,0.0,0.0,14982517.76,0.0,0,141175,0,65537,65537,
Project 1,TV+ C3 DS,9802440,9842256,140758,141177,0.0,111.4994,0.0,2985.6,0.0,0.0,0.0,15741035.44,0.0,0,141177,0,65538,65538,
Project 1,TV+ C1 US,1629640,21424,23343,630,97.28,9915.0937,0.0,441016.32,0.0,0.0,0.0,6236593.92,0.0,0,630,0,131072,131072,
Project 1,TV+ C2 US,1629640,1243784,23343,15419,33.73,3041.1306,0.0,47554.56,0.0,0.0,0.0,46888151.04,0.0,0,15419,0,131073,131073,
Project 1,TV+ C3 US,1629640,0,23343,2375,89.78,6436.9992,0.0,243630.08,0.0,0.0,0.0,15281436.16,0.0,0,2375,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #6
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9839848,168523,168925,0.0,153.7462,0.0,3136.64,0.0,0.0,0.0,25971424.48,0.0,0,168925,0,65536,65536,
