/tmp/agent/itest_velagent/runtime1618597017439/workspace-6a531fd0-603e-4663-aee8-cf8432c26eb3/docsisScheduler/AARC89410GTVPlusE6KDataBi_2021-04-27_16-54-14/E6KTVPlusDataBi.csv for periodic results

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #1
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9804080,9840480,27936,28384,0.0,177.6208,0.0,1608.32,0.0,0.0,0.0,5041410.04,0.0,0,28384,0,65536,65536,
Project 1,TV+ C2 DS,9804080,9841880,27936,28384,0.0,114.8067,0.0,1710.24,0.0,0.0,0.0,3258558.32,0.0,0,28384,0,65537,65537,
Project 1,TV+ C3 DS,9804080,9841776,27936,28386,0.0,116.7207,0.0,1790.4,0.0,0.0,0.0,3313117.84,0.0,0,28386,0,65538,65538,
Project 1,TV+ C1 US,1629640,1620984,4572,4645,0.0,1807.9764,0.0,7642.88,0.0,0.0,0.0,8396242.24,0.0,0,4645,0,131072,131072,
Project 1,TV+ C2 US,1629640,1625400,4572,4643,0.0,1709.3818,0.0,5776.64,0.0,0.0,0.0,7934950.4,0.0,0,4643,0,131073,131073,
Project 1,TV+ C3 US,1629640,1625704,4572,4645,0.0,1722.3977,0.0,5795.2,0.0,0.0,0.0,7998814.72,0.0,0,4645,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #2
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9805720,9841520,54349,54802,0.0,178.0402,0.0,1608.32,0.0,0.0,0.0,9756782.08,0.0,0,54802,0,65536,65536,
Project 1,TV+ C2 DS,9805720,9843712,54349,54802,0.0,115.3906,0.0,1710.24,0.0,0.0,0.0,6323518.56,0.0,0,54802,0,65537,65537,
Project 1,TV+ C3 DS,9805720,9843728,54349,54802,0.0,117.1358,0.0,1790.4,0.0,0.0,0.0,6419158.72,0.0,0,54802,0,65538,65538,
Project 1,TV+ C1 US,1631280,1622176,8968,9042,0.0,1843.1368,0.0,7642.88,0.0,0.0,0.0,16663799.68,0.0,0,9042,0,131072,131072,
Project 1,TV+ C2 US,1631280,1625328,8968,9040,0.0,1730.5931,0.0,6716.16,0.0,0.0,0.0,15642831.36,0.0,0,9040,0,131073,131073,
Project 1,TV+ C3 US,1631280,1622184,8968,9042,0.0,1737.6279,0.0,6694.4,0.0,0.0,0.0,15709894.08,0.0,0,9042,0,131074,131074,

================== Periodic Results: 
