/tmp/agent/itest_velagent/runtime1618597017439/workspace-2599c3f8-1401-4d81-8a7f-8243567c08b1/docsisScheduler/AARC89410GTVPlusE6KDataUS_2021-04-28_11-59-41/E6KTVPlusDataUS.csv for periodic results

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #1
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9841672,26154,26602,0.0,146.6785,0.0,833.6,0.0,0.0,0.0,3901793.68,0.0,0,26602,0,65536,65536,
Project 1,TV+ C2 DS,9802440,9841968,26154,26602,0.0,101.077,0.0,1511.52,0.0,0.0,0.0,2688748.64,0.0,0,26602,0,65537,65537,
Project 1,TV+ C3 DS,9802440,9841848,26154,26602,0.0,110.6198,0.0,1312.0,0.0,0.0,0.0,2942598.48,0.0,0,26602,0,65538,65538,
Project 1,TV+ C1 US,1629640,1625816,4183,4254,0.0,1798.5237,0.0,5080.64,0.0,0.0,0.0,7649121.28,0.0,0,4254,0,131072,131072,
Project 1,TV+ C2 US,1629640,1624544,4183,4255,0.0,1696.0502,0.0,5763.84,0.0,0.0,0.0,7214997.44,0.0,0,4255,0,131073,131073,
Project 1,TV+ C3 US,1629640,1625816,4183,4254,0.0,1706.7203,0.0,5758.08,0.0,0.0,0.0,7258681.6,0.0,0,4254,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
