/tmp/agent/itest_velagent/runtime1618597017439/workspace-369fd4d9-6fa1-4ffc-a6b3-7c2f62311915/docsisScheduler/AARC89410GTVPlusE6KDataUS_2021-04-26_15-42-56/E6KTVPlusDataUS.csv for periodic results

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #1
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9803488,9842048,28956,29407,0.0,154.2207,0.0,833.12,0.0,0.0,0.0,4535014.68,0.0,0,29407,0,65536,65536,
Project 1,TV+ C2 DS,9803488,9839920,28956,29405,0.0,105.5299,0.0,1536.48,0.0,0.0,0.0,3103000.0,0.0,0,29405,0,65537,65537,
Project 1,TV+ C3 DS,9803488,9839920,28956,29405,0.0,110.9942,0.0,1060.8,0.0,0.0,0.0,3263674.32,0.0,0,29405,0,65538,65538,
Project 1,TV+ C1 US,1631280,1623048,4715,4788,0.0,1858.2777,0.0,5837.44,0.0,0.0,0.0,8895575.36,0.0,0,4788,0,131072,131072,
Project 1,TV+ C2 US,1631280,1621992,4715,4786,0.0,1772.5448,0.0,7665.92,0.0,0.0,0.0,8481626.88,0.0,0,4786,0,131073,131073,
Project 1,TV+ C3 US,1631280,1623096,4715,4788,0.0,1786.4226,0.0,7506.56,0.0,0.0,0.0,8551605.12,0.0,0,4788,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #2
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9841328,56536,56972,0.0,157.0688,0.0,833.12,0.0,0.0,0.0,8948368.2,0.0,0,56972,0,65536,65536,
Project 1,TV+ C2 DS,9802440,9841392,56536,56972,0.0,106.7153,0.0,1536.48,0.0,0.0,0.0,6079675.12,0.0,0,56972,0,65537,65537,
Project 1,TV+ C3 DS,9802440,9841304,56536,56972,0.0,111.3723,0.0,1060.8,0.0,0.0,0.0,6344990.32,0.0,0,56972,0,65538,65538,
Project 1,TV+ C1 US,1631280,1621536,9314,9384,0.0,1890.1499,0.0,5837.44,0.0,0.0,0.0,17735276.48,0.0,0,9384,0,131072,131072,
Project 1,TV+ C2 US,1631280,1624456,9314,9385,0.0,1794.157,0.0,7665.92,0.0,0.0,0.0,16836368.96,0.0,0,9385,0,131073,131073,
Project 1,TV+ C3 US,1631280,1622288,9314,9384,0.0,1799.7282,0.0,7506.56,0.0,0.0,0.0,16886849.92,0.0,0,9384,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #3
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9840304,84452,84910,0.0,157.2233,0.0,833.12,0.0,0.0,0.0,13349673.72,0.0,0,84910,0,65536,65536,
Project 1,TV+ C2 DS,9802440,9839280,84452,84911,0.0,107.0393,0.0,1536.48,0.0,0.0,0.0,9088704.64,0.0,0,84911,0,65537,65537,
Project 1,TV+ C3 DS,9802440,9839296,84452,84911,0.0,111.2879,0.0,1060.8,0.0,0.0,0.0,9449454.8,0.0,0,84911,0,65538,65538,
Project 1,TV+ C1 US,1629640,1623736,13967,14041,0.0,1905.9306,0.0,5837.44,0.0,0.0,0.0,26759265.6,0.0,0,14041,0,131072,131072,
Project 1,TV+ C2 US,1629640,1624000,13967,14042,0.0,1804.2512,0.0,7665.92,0.0,0.0,0.0,25333490.88,0.0,0,14042,0,131073,131073,
Project 1,TV+ C3 US,1629640,1623984,13967,14041,0.0,1808.5332,0.0,7506.56,0.0,0.0,0.0,25391806.4,0.0,0,14041,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #4
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,9802440,9844480,111845,112310,0.0,157.2454,0.0,833.12,0.0,0.0,0.0,17660069.56,0.0,0,112310,0,65536,65536,
Project 1,TV+ C2 DS,9802440,9843128,111845,112311,0.0,106.9643,0.0,1536.48,0.0,0.0,0.0,12013157.6,0.0,0,112311,0,65537,65537,
Project 1,TV+ C3 DS,9802440,9842616,111845,112310,0.0,111.1405,0.0,1060.8,0.0,0.0,0.0,12482083.28,0.0,0,112310,0,65538,65538,
Project 1,TV+ C1 US,1629640,1625048,18527,18602,0.0,1917.7156,0.0,14464.0,0.0,0.0,0.0,35671427.2,0.0,0,18602,0,131072,131072,
Project 1,TV+ C2 US,1629640,1625168,18527,18600,0.0,1815.8661,0.0,14455.04,0.0,0.0,0.0,33773292.8,0.0,0,18600,0,131073,131073,
Project 1,TV+ C3 US,1629640,1624584,18527,18602,0.0,1818.8165,0.0,14471.68,0.0,0.0,0.0,33831805.12,0.0,0,18602,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxBitRate,StreamBlock.RxBitRate,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock7,streamblock8,streamblock9 LIMIT 50
Record #5
Project Name,StreamBlock Name,Tx Rate (bps) ,Rx Rate (bps) ,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

