/tmp/agent/itest_velagent/runtime1618597017439/workspace-8bc3ee23-aede-4017-9867-38d77c4e402d/docsisScheduler/AARC89410GTVPlusGacDataUS_2021-05-19_10-38-12/GacTVPlusDataUS.csv for periodic results

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock5,streamblock6,streamblock7,streamblock12,streamblock13,streamblock14 LIMIT 50
Record #1
Project Name,StreamBlock Name,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 US,24079,24079,0,0.0,2492.9596,0.0,19699.2,0.0,0.0,0.0,60025481.36,0.0,0,24079,0,65540,65540,
Project 1,TV+ C2 US,24079,24079,0,0.0,2487.5162,0.0,19700.48,0.0,0.0,0.0,59894415.28,0.0,0,24079,0,65541,65541,
Project 1,TV+ C3 US,24079,24079,0,0.0,2314.2711,0.0,19699.2,0.0,0.0,0.0,55723019.76,0.0,0,24079,0,65542,65542,
Project 1,TV+ C1 DS,144837,144203,0,0.0,23.9019,0.0,673.6,0.0,0.0,0.0,3446703.96,0.0,0,144203,0,131076,131076,
Project 1,TV+ C2 DS,144837,144203,0,0.0,24.1242,0.0,702.24,0.0,0.0,0.0,3478759.72,0.0,0,144203,0,131077,131077,
Project 1,TV+ C3 DS,144837,144203,0,0.0,24.4101,0.0,1144.96,0.0,0.0,0.0,3519985.32,0.0,0,144203,0,131078,131078,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock5,streamblock6,streamblock7,streamblock12,streamblock13,streamblock14 LIMIT 50
Record #2
Project Name,StreamBlock Name,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 US,24079,24079,0,0.0,2479.4535,0.0,15607.04,0.0,0.0,0.0,59700281.44,0.0,0,24079,0,65540,65540,
Project 1,TV+ C2 US,24079,24079,0,0.0,2494.4405,0.0,18558.72,0.0,0.0,0.0,60061137.68,0.0,0,24079,0,65541,65541,
Project 1,TV+ C3 US,24079,24079,0,0.0,2322.8154,0.0,19801.6,0.0,0.0,0.0,55928750.0,0.0,0,24079,0,65542,65542,
Project 1,TV+ C1 DS,144837,144837,0,0.0,23.9212,0.0,504.64,0.0,0.0,0.0,3464656.72,0.0,0,144837,0,131076,131076,
Project 1,TV+ C2 DS,144837,144837,0,0.0,24.039,0.0,526.4,0.0,0.0,0.0,3481712.16,0.0,0,144837,0,131077,131077,
Project 1,TV+ C3 DS,144837,144837,0,0.0,24.3726,0.0,526.52,0.0,0.0,0.0,3530036.2,0.0,0,144837,0,131078,131078,
