/tmp/agent/itest_velagent/runtime1618597017439/workspace-4ec38b2b-7c03-49bd-a4fe-47698dd13b39/docsisScheduler/AARC89410GTVPlusE6KDataUS_2021-05-24_18-15-45/E6KTVPlusDataUS.csv for periodic results

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock8,streamblock9,streamblock10 LIMIT 50
Record #1
Project Name,StreamBlock Name,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,2793,2029,8,0.39,178.2645,0.0,4808.64,0.0,0.0,0.0,361520.4,0.0,0,2029,0,65536,65536,
Project 1,TV+ C2 DS,2793,2029,8,0.39,120.3975,0.0,5184.32,0.0,0.0,0.0,244166.08,0.0,0,2029,0,65537,65537,
Project 1,TV+ C3 DS,2793,2029,8,0.39,121.6089,0.0,5109.12,0.0,0.0,0.0,246622.88,0.0,0,2029,0,65538,65538,
Project 1,TV+ C1 US,398,398,0,0.0,2127.9234,0.0,18590.72,0.0,0.0,0.0,844785.6,0.0,0,398,0,131072,131072,
Project 1,TV+ C2 US,398,398,0,0.0,1995.2298,0.0,14366.72,0.0,0.0,0.0,792106.24,0.0,0,398,0,131073,131073,
Project 1,TV+ C3 US,398,398,0,0.0,1999.2004,0.0,15498.24,0.0,0.0,0.0,793682.56,0.0,0,398,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock8,streamblock9,streamblock10 LIMIT 50
Record #2
Project Name,StreamBlock Name,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,2394,2394,0,0.0,170.6198,0.0,660.32,0.0,0.0,0.0,408293.28,0.0,0,2394,0,65536,65536,
Project 1,TV+ C2 DS,2394,2394,0,0.0,108.9526,0.0,440.6,0.0,0.0,0.0,260723.52,0.0,0,2394,0,65537,65537,
Project 1,TV+ C3 DS,2394,2394,0,0.0,109.2586,0.0,515.44,0.0,0.0,0.0,261455.84,0.0,0,2394,0,65538,65538,
Project 1,TV+ C1 US,398,398,0,0.0,2004.9451,0.0,5127.04,0.0,0.0,0.0,795963.2,0.0,0,398,0,131072,131072,
Project 1,TV+ C2 US,398,398,0,0.0,1901.0998,0.0,5126.4,0.0,0.0,0.0,754736.64,0.0,0,398,0,131073,131073,
Project 1,TV+ C3 US,398,398,0,0.0,1904.5481,0.0,5086.72,0.0,0.0,0.0,756105.6,0.0,0,398,0,131074,131074,

================== Periodic Results: 
 SELECT Project.Name,StreamBlock.Name,StreamBlock.TxFrameCount,StreamBlock.RxFrameCount,StreamBlock.DroppedFrameCount,StreamBlock.DroppedFramePercent,StreamBlock.AvgJitter,StreamBlock.MinJitter,StreamBlock.MaxJitter,StreamBlock.AvgLatency,StreamBlock.MinLatency,StreamBlock.MaxLatency FROM streamblock1,streamblock2,streamblock3,streamblock8,streamblock9,streamblock10 LIMIT 50
Record #3
Project Name,StreamBlock Name,Tx Count (Frames) ,Rx Count (Frames) ,Dropped Count (Frames) ,Dropped Frame Percent,Avg Jitter (us) ,Min Jitter (us) ,Max Jitter (us) ,Avg Latency (us) ,Min Latency (us) ,Max Latency (us) ,StreamBlock TotalJitter,StreamBlock TotalLatency (us) ,StreamBlock InSeqFrameCount (Frames) ,StreamBlock RxSigFrameCount (Frames) ,StreamBlock InJitterModeRfc3393,StreamBlock Comp32,StreamBlock StreamId,

Project 1,TV+ C1 DS,2394,2394,0,0.0,171.8171,0.0,690.0,0.0,0.0,0.0,411158.4,0.0,0,2394,0,65536,65536,
Project 1,TV+ C2 DS,2394,2394,0,0.0,113.7313,0.0,539.84,0.0,0.0,0.0,272159.04,0.0,0,2394,0,65537,65537,
Project 1,TV+ C3 DS,2394,2394,0,0.0,114.0149,0.0,538.96,0.0,0.0,0.0,272837.68,0.0,0,2394,0,65538,65538,
Project 1,TV+ C1 US,398,398,0,0.0,2060.422,0.0,5118.72,0.0,0.0,0.0,817987.52,0.0,0,398,0,131072,131072,
Project 1,TV+ C2 US,398,398,0,0.0,1954.7978,0.0,5111.68,0.0,0.0,0.0,776054.72,0.0,0,398,0,131073,131073,
Project 1,TV+ C3 US,398,398,0,0.0,1953.8354,0.0,5095.04,0.0,0.0,0.0,775672.64,0.0,0,398,0,131074,131074,
